Región,Comuna,Enlace de Descarga
XV - Arica y Parinacota,Arica,https://cdn.servel.cl/Padron_Definitivo2025/Region_15/A15101.pdf
XV - Arica y Parinacota,Camarones,https://cdn.servel.cl/Padron_Definitivo2025/Region_15/A15102.pdf
XV - Arica y Parinacota,General Lagos,https://cdn.servel.cl/Padron_Definitivo2025/Region_15/A15202.pdf
XV - Arica y Parinacota,Putre,https://cdn.servel.cl/Padron_Definitivo2025/Region_15/A15201.pdf
I - Tarapacá,Alto Hospicio,https://cdn.servel.cl/Padron_Definitivo2025/Region_01/A01107.pdf
I - Tarapacá,Camiña,https://cdn.servel.cl/Padron_Definitivo2025/Region_01/A01402.pdf
I - Tarapacá,Colchane,https://cdn.servel.cl/Padron_Definitivo2025/Region_01/A01403.pdf
I - Tarapacá,Huara,https://cdn.servel.cl/Padron_Definitivo2025/Region_01/A01404.pdf
I - Tarapacá,Iquique,https://cdn.servel.cl/Padron_Definitivo2025/Region_01/A01101.pdf
I - Tarapacá,Pica,https://cdn.servel.cl/Padron_Definitivo2025/Region_01/A01405.pdf
I - Tarapacá,Pozo Almonte,https://cdn.servel.cl/Padron_Definitivo2025/Region_01/A01401.pdf
II - Antofagasta,Antofagasta,https://cdn.servel.cl/Padron_Definitivo2025/Region_02/A02101.pdf
II - Antofagasta,Calama,https://cdn.servel.cl/Padron_Definitivo2025/Region_02/A02201.pdf
II - Antofagasta,María Elena,https://cdn.servel.cl/Padron_Definitivo2025/Region_02/A02302.pdf
II - Antofagasta,Mejillones,https://cdn.servel.cl/Padron_Definitivo2025/Region_02/A02102.pdf
II - Antofagasta,Ollagüe,https://cdn.servel.cl/Padron_Definitivo2025/Region_02/A02202.pdf
II - Antofagasta,San Pedro de Atacama,https://cdn.servel.cl/Padron_Definitivo2025/Region_02/A02203.pdf
II - Antofagasta,Sierra Gorda,https://cdn.servel.cl/Padron_Definitivo2025/Region_02/A02103.pdf
II - Antofagasta,Taltal,https://cdn.servel.cl/Padron_Definitivo2025/Region_02/A02104.pdf
II - Antofagasta,Tocopilla,https://cdn.servel.cl/Padron_Definitivo2025/Region_02/A02301.pdf
III - Atacama,Alto del Carmen,https://cdn.servel.cl/Padron_Definitivo2025/Region_03/A03302.pdf
III - Atacama,Caldera,https://cdn.servel.cl/Padron_Definitivo2025/Region_03/A03102.pdf
III - Atacama,Chañaral,https://cdn.servel.cl/Padron_Definitivo2025/Region_03/A03201.pdf
III - Atacama,Copiapó,https://cdn.servel.cl/Padron_Definitivo2025/Region_03/A03101.pdf
III - Atacama,Diego de Almagro,https://cdn.servel.cl/Padron_Definitivo2025/Region_03/A03202.pdf
III - Atacama,Freirina,https://cdn.servel.cl/Padron_Definitivo2025/Region_03/A03303.pdf
III - Atacama,Huasco,https://cdn.servel.cl/Padron_Definitivo2025/Region_03/A03304.pdf
III - Atacama,Tierra Amarilla,https://cdn.servel.cl/Padron_Definitivo2025/Region_03/A03103.pdf
III - Atacama,Vallenar,https://cdn.servel.cl/Padron_Definitivo2025/Region_03/A03301.pdf
IV - Coquimbo,Andacollo,https://cdn.servel.cl/Padron_Definitivo2025/Region_04/A04103.pdf
IV - Coquimbo,Canela,https://cdn.servel.cl/Padron_Definitivo2025/Region_04/A04202.pdf
IV - Coquimbo,Combarbalá,https://cdn.servel.cl/Padron_Definitivo2025/Region_04/A04302.pdf
IV - Coquimbo,Coquimbo,https://cdn.servel.cl/Padron_Definitivo2025/Region_04/A04102.pdf
IV - Coquimbo,Illapel,https://cdn.servel.cl/Padron_Definitivo2025/Region_04/A04201.pdf
IV - Coquimbo,La Higuera,https://cdn.servel.cl/Padron_Definitivo2025/Region_04/A04104.pdf
IV - Coquimbo,La Serena,https://cdn.servel.cl/Padron_Definitivo2025/Region_04/A04101.pdf
IV - Coquimbo,Los Vilos,https://cdn.servel.cl/Padron_Definitivo2025/Region_04/A04203.pdf
IV - Coquimbo,Monte Patria,https://cdn.servel.cl/Padron_Definitivo2025/Region_04/A04303.pdf
IV - Coquimbo,Ovalle,https://cdn.servel.cl/Padron_Definitivo2025/Region_04/A04301.pdf
IV - Coquimbo,Paihuano,https://cdn.servel.cl/Padron_Definitivo2025/Region_04/A04105.pdf
IV - Coquimbo,Punitaqui,https://cdn.servel.cl/Padron_Definitivo2025/Region_04/A04304.pdf
IV - Coquimbo,Río Hurtado,https://cdn.servel.cl/Padron_Definitivo2025/Region_04/A04305.pdf
IV - Coquimbo,Salamanca,https://cdn.servel.cl/Padron_Definitivo2025/Region_04/A04204.pdf
IV - Coquimbo,Vicuña,https://cdn.servel.cl/Padron_Definitivo2025/Region_04/A04106.pdf
V - Valparaíso,Algarrobo,https://cdn.servel.cl/Padron_Definitivo2025/Region_05/A05602.pdf
